trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
150,False,"{'a': 0.3, 'e': 0.08164965809277261}",25,0,-35.43859795847524,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
151,False,"{'a': 0.3, 'e': 0.08137884587711594}",20,0,19.558309868538142,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
152,False,"{'a': 0.3, 'e': 0.08111071056538127}",20,10,-12.286330561534555,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
153,False,"{'a': 0.3, 'e': 0.08084520834544433}",25,0,35.44220354356035,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.3, 'e': 0.08058229640253803}",30,0,-17.324194477142193,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
155,False,"{'a': 0.3, 'e': 0.08032193289024989}",25,0,-15.097723511437534,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
156,False,"{'a': 0.3, 'e': 0.08006407690254357}",20,0,22.26310789001681,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.3, 'e': 0.07980868844676221}",30,8,13.529251277300993,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
158,False,"{'a': 0.3, 'e': 0.079555728417573}",25,11,-19.450293001233376,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.3, 'e': 0.07930515857181442}",30,0,-13.596766856479903,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
160,False,"{'a': 0.3, 'e': 0.07905694150420949}",25,18,15.130817307268806,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.3, 'e': 0.07881104062391006}",20,0,14.856119665643178,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.3, 'e': 0.07856742013183861}",30,13,20.885636024562356,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.3, 'e': 0.07832604499879574}",20,0,-41.779462554238116,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
164,False,"{'a': 0.3, 'e': 0.07808688094430304}",20,0,-26.658131425718146,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
165,False,"{'a': 0.3, 'e': 0.0778498944161523}",25,13,-11.1358181507861,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
