trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
153,False,"{'a': 0.3, 'e': 0.08084520834544433}",25,16,16.899035137735925,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.3, 'e': 0.08058229640253803}",20,10,-0.7280536321729996,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.3, 'e': 0.08032193289024989}",30,12,27.463175030554343,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.3, 'e': 0.08006407690254357}",20,10,16.20861692579263,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.3, 'e': 0.07980868844676221}",25,17,-25.72419858543749,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.3, 'e': 0.079555728417573}",25,13,18.18354907199454,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.3, 'e': 0.07930515857181442}",35,23,22.461957151161982,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.3, 'e': 0.07905694150420949}",20,4,28.471931597054933,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.3, 'e': 0.07881104062391006}",25,7,5.837386115644571,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
162,False,"{'a': 0.3, 'e': 0.07856742013183861}",20,8,19.367370076946646,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.3, 'e': 0.07832604499879574}",25,9,22.804492002618154,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.3, 'e': 0.07808688094430304}",20,6,27.197981508188516,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.3, 'e': 0.0778498944161523}",25,18,7.312858420022135,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.3, 'e': 0.07761505257063328}",25,18,14.195763173387052,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.3, 'e': 0.07738232325341368}",25,11,1.8835480141315355,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
168,False,"{'a': 0.3, 'e': 0.07715167498104596}",30,22,14.213361548725434,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.3, 'e': 0.07692307692307693}",20,0,-0.6009255340470645,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
170,False,"{'a': 0.3, 'e': 0.07669649888473704}",20,11,6.970184809666355,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.3, 'e': 0.07647191129018725}",25,12,10.533502741107686,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.3, 'e': 0.07624928516630233}",20,0,-10.78561511840446,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
173,False,"{'a': 0.3, 'e': 0.07602859212697055}",20,11,16.445854259505545,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.3, 'e': 0.07580980435789034}",30,21,15.452444820539442,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.3, 'e': 0.07559289460184544}",20,13,-27.917989613533834,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
176,False,"{'a': 0.3, 'e': 0.07537783614444091}",20,15,7.713675915457554,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.3, 'e': 0.07516460280028289}",20,3,16.849249802038088,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.3, 'e': 0.07495316889958614}",20,0,27.938590259448997,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.3, 'e': 0.07474350927519359}",20,0,12.564154548986714,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.3, 'e': 0.07453559924999299}",30,19,14.922968348699918,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.3, 'e': 0.07432941462471664}",25,1,-15.9889876391206,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
182,False,"{'a': 0.3, 'e': 0.07412493166611012}",25,0,13.079565037261547,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
183,False,"{'a': 0.3, 'e': 0.07392212709545729}",20,0,26.32310641222168,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
184,False,"{'a': 0.3, 'e': 0.07372097807744857}",20,3,28.10709431923623,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.3, 'e': 0.07352146220938077}",20,8,-30.23971550253244,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
186,False,"{'a': 0.3, 'e': 0.07332355751067665}",30,18,24.378896709337084,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.3, 'e': 0.07312724241271307}",25,0,-3.170599304887169,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
188,False,"{'a': 0.3, 'e': 0.07293249574894728}",20,13,9.69745069881069,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.3, 'e': 0.07273929674533079}",25,17,-26.75121385521493,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
190,False,"{'a': 0.3, 'e': 0.07254762501100116}",20,12,13.309658610671944,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.3, 'e': 0.07235746052924216}",20,2,6.810537891105847,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
192,False,"{'a': 0.3, 'e': 0.07216878364870323}",25,9,30.7454337116244,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.3, 'e': 0.07198157507486945}",25,0,-3.7617738482672713,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
194,False,"{'a': 0.3, 'e': 0.07179581586177382}",20,6,9.944864182167407,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.3, 'e': 0.0716114874039433}",25,0,35.163143990095996,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
